alias,proposed_canonical,type,confidence,keep_in_active_pathA,reason,reviewer_notes
femara,letrozole,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
arimidex,anastrozole,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
aromasin,exemestane,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
lupron,leuprolide,brand_to_generic,high,yes,Ingredient-level normalization intentionally collapses product salt wording,
taxol,paclitaxel,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
taxotere,docetaxel,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
herceptin,trastuzumab,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
perjeta,pertuzumab,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
kadcyla,ado trastuzumab emtansine,brand_to_generic,high,yes,Keep specific ADC ingredient label rather than collapsing to trastuzumab,
ibrance,palbociclib,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
kisqali,ribociclib,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
verzenio,abemaciclib,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
xeloda,capecitabine,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
cytoxan,cyclophosphamide,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
adriamycin,doxorubicin,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
carboplatin,carboplatin,,high,no,Identity mapping is not an alias and belongs in canonical vocab not alias map,
cisplatin,cisplatin,,high,no,Identity mapping is not an alias and belongs in canonical vocab not alias map,
gemzar,gemcitabine,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
avastin,bevacizumab,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
tecentriq,atezolizumab,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
keytruda,pembrolizumab,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
opdivo,nivolumab,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
yervoy,ipilimumab,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
xtandi,enzalutamide,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
zytiga,abiraterone,brand_to_generic,high,yes,Ingredient-level normalization intentionally collapses acetate wording,
neulasta,pegfilgrastim,brand_to_generic,high,yes,Stable supportive-care brand-to-generic mapping,
prolia,denosumab,brand_to_generic,high,yes,Safe under ingredient-level policy though product-level indication differs,
xgeva,denosumab,brand_to_generic,high,yes,Safe under ingredient-level policy though product-level indication differs,
zoladex,goserelin,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
faslodex,fulvestrant,brand_to_generic,high,yes,Stable oncology brand-to-generic mapping,
temodar,temozolomide,brand_to_generic,high,yes,High-frequency oncology brand in unresolved queue and low ambiguity,
decadron,dexamethasone,brand_to_generic,high,no,Safe and common but deferred to keep first-use Path A smaller,
casodex,bicalutamide,brand_to_generic,high,no,Safe and common but deferred to keep first-use Path A smaller,
votrient,pazopanib,brand_to_generic,high,no,Safe and common but deferred to keep first-use Path A smaller,
sutent,sunitinib,brand_to_generic,high,no,Safe and common but deferred to keep first-use Path A smaller,
eligard,leuprolide,brand_to_generic,high,no,Safe mapping but deferred to avoid rapid Path A expansion,
erbitux,cetuximab,brand_to_generic,high,no,Safe mapping but deferred to avoid rapid Path A expansion,
firmagon,degarelix,brand_to_generic,high,no,Safe mapping but deferred to keep initial Path A small and oncology-focused,
inlyta,axitinib,brand_to_generic,high,no,Safe mapping but deferred until next high-yield expansion batch,
lenvima,lenvatinib,brand_to_generic,high,no,Safe mapping but deferred to avoid rapid Path A expansion,
afinitor,everolimus,brand_to_generic,high,no,Safe mapping but deferred until next high-yield expansion batch,
lonsurf,trifluridine tipiracil,brand_to_generic,medium,no,Fixed combination product is stable but combo-label policy should be documented first,
abraxane,paclitaxel,brand_to_generic,medium,no,Albumin-bound paclitaxel formulation should not be silently collapsed without explicit formulation policy,
pembro,pembrolizumab,abbreviation_expansion,medium,no,Common shorthand but should be validated locally before deterministic activation,
nivo,nivolumab,abbreviation_expansion,medium,no,Common shorthand but should be validated locally before deterministic activation,
bev,bevacizumab,abbreviation_expansion,medium,no,Too terse and risky for deterministic use without local validation,
carbo,carboplatin,abbreviation_expansion,medium,no,Partial shorthand often appears in regimen-style multi-drug contexts,
folfox,,,medium,no,Regimen abbreviation and not a single-drug alias,
folfiri,,,medium,no,Regimen abbreviation and not a single-drug alias,
