alias_raw,alias_normalized,canonical_label,mapping_type,confidence,include_flag,notes,source_reference
casodex,casodex,bicalutamide,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
keppra,keppra,levetiracetam,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
vimpat,vimpat,lacosamide,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
asa,asa,aspirin,abbreviation_to_generic,high,yes,Reviewed OMOP no-overlap audit: common medication abbreviation.,manual_review_mismatch_bucket_annotated_2026-06-04
glucagon human,glucagon human,glucagon,generic_cleanup,medium,yes,Reviewed OMOP no-overlap audit: collapse product wording to ingredient.,manual_review_mismatch_bucket_annotated_2026-06-04
effexor,effexor,venlafaxine,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
toprol,toprol,metoprolol succinate,brand_to_generic,medium,yes,Reviewed OMOP no-overlap audit: prefer common Toprol XL ingredient target.,manual_review_mismatch_bucket_annotated_2026-06-04
uloric,uloric,febuxostat,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
decadron,decadron,dexamethasone,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
zyrtec,zyrtec,cetirizine,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
cabometyx,cabometyx,cabozantinib,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one oncology brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
albuterol hfa,albuterol hfa,albuterol,product_to_ingredient,medium,yes,Reviewed OMOP no-overlap audit: collapse inhaler product wording to ingredient.,manual_review_mismatch_bucket_annotated_2026-06-04
synthroid,synthroid,levothyroxine,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
calcium 600,calcium 600,calcium carbonate,product_to_ingredient,medium,yes,Reviewed OMOP no-overlap audit: collapse supplement wording to major ingredient.,manual_review_mismatch_bucket_annotated_2026-06-04
xanax,xanax,alprazolam,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
revlimid,revlimid,lenalidomide,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one oncology brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
estrace,estrace,estradiol,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
firmagon,firmagon,degarelix,brand_to_generic,high,yes,Reviewed OMOP no-overlap audit: safe one-to-one oncology brand normalization.,manual_review_mismatch_bucket_annotated_2026-06-04
